Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,Age_miss
0,3,1,22.0,1,0,3.625,3,2,0.0
1,1,0,38.0,1,0,35.64165,0,3,0.0
1,3,0,26.0,0,0,7.925,3,1,0.0
1,1,0,35.0,1,0,26.55,3,3,0.0
0,3,1,35.0,0,0,8.05,3,2,0.0
0,3,1,29.69911764705882,0,0,8.4583,2,2,1.0
0,1,1,54.0,0,0,51.8625,3,2,0.0
0,3,1,2.0,3,1,4.215,3,0,0.0
1,3,0,27.0,0,2,3.7111,3,3,0.0
1,2,0,14.0,1,0,15.0354,0,3,0.0
1,3,0,4.0,1,1,5.566666666666666,3,1,0.0
1,1,0,58.0,0,0,26.55,3,1,0.0
0,3,1,20.0,0,0,8.05,3,2,0.0
0,3,1,39.0,1,5,4.467857142857143,3,2,0.0
0,3,0,14.0,0,0,7.8542,3,1,0.0
1,2,0,55.0,0,0,16.0,3,3,0.0
0,3,1,2.0,4,1,4.854166666666667,2,0,0.0
1,2,1,29.69911764705882,0,0,13.0,3,2,1.0
0,3,0,31.0,1,0,9.0,3,3,0.0
1,3,0,29.69911764705882,0,0,7.225,0,3,1.0
0,2,1,35.0,0,0,26.0,3,2,0.0
1,2,1,34.0,0,0,13.0,3,2,0.0
1,3,0,15.0,0,0,8.0292,2,1,0.0
1,1,1,28.0,0,0,35.5,3,2,0.0
0,3,0,8.0,3,1,4.215,3,1,0.0
1,3,0,38.0,1,5,4.483928571428572,3,3,0.0
0,3,1,29.69911764705882,0,0,7.225,0,2,1.0
0,1,1,19.0,3,2,43.833333333333336,3,2,0.0
1,3,0,29.69911764705882,0,0,7.8792,2,1,1.0
0,3,1,29.69911764705882,0,0,7.8958,3,2,1.0
0,1,1,40.0,0,0,27.7208,0,4,0.0
1,1,0,29.69911764705882,1,0,73.2604,0,3,1.0
1,3,0,29.69911764705882,0,0,7.75,2,1,1.0
0,2,1,66.0,0,0,10.5,3,2,0.0
0,1,1,28.0,1,0,41.0854,0,2,0.0
0,1,1,42.0,1,0,26.0,3,2,0.0
1,3,1,29.69911764705882,0,0,7.2292,0,2,1.0
0,3,1,21.0,0,0,8.05,3,2,0.0
0,3,0,18.0,2,0,6.0,3,1,0.0
1,3,0,14.0,1,0,5.62085,0,1,0.0
0,3,0,40.0,1,0,4.7375,3,3,0.0
0,2,0,27.0,1,0,10.5,3,3,0.0
0,3,1,29.69911764705882,0,0,7.8958,0,2,1.0
1,2,0,3.0,1,2,10.3948,0,1,0.0
1,3,0,19.0,0,0,7.8792,2,1,0.0
0,3,1,29.69911764705882,0,0,8.05,3,2,1.0
0,3,1,29.69911764705882,1,0,7.75,2,2,1.0
1,3,0,29.69911764705882,0,0,7.75,2,1,1.0
0,3,1,29.69911764705882,2,0,7.226400000000001,0,2,1.0
0,3,0,18.0,1,0,8.9,3,3,0.0
0,3,1,7.0,4,1,6.614583333333333,3,0,0.0
0,3,1,21.0,0,0,7.8,3,2,0.0
